,symbol,date,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue
0,WYNN,12/31/2019,1.440496267,1.186102667,1.186102667,0,11.04877859,11.04877859,32.75690313,-32.75690313,0.360668433,0.192024397,0.106739421,0.026888291,0.36221524,0.00886616,0.070557559,0.041066765,0.251905911,1,0.106739421,0.874341454,6.958073945,0.852572031,0.856502941,1.179185083,0.086609209,7.958073945,,11.14268948,33.03532575,0.475270558,0.329740563,8.441332147,-1.519724577,22.03291957,4.606423548,0.197001524,-0.180033738,0.086609209,2.782145018,0.847433398,0.552866769,4.606423548,7.754275937,7.754275937,2.95502328,109.9000033,-83.31772868,15.00000211,15.00000211,20.49381732,2.95502328,0.041914681,14.07665201,7.754275937
1,WYNN,12/31/2018,1.403447175,1.176900561,1.176900561,0,39.75578955,39.75578955,192.0130586,-192.0130586,0.908940613,0.10949408,0.045512872,0.085212708,-1.626689344,0.043312526,0.281413661,0.026974982,1.872277098,1,0.045512872,0.846089467,5.497281138,0.822273809,0.822459334,0.800682992,0.102035317,6.497281138,,1.900912379,9.181052726,0.715716733,0.508287172,9.02560805,-4.829511213,20.79246966,0.99537236,0.14312856,-0.535089845,0.102035317,80.39205686,0.651427669,0.469992712,0.99537236,6.309654785,6.309654785,1.910578076,22.42128106,-24.94662393,13.34868513,13.34868513,4.172591672,1.910578076,0.04439409,15.1487902,6.309654785
2,WYNN,12/31/2017,1.77371483,1.539274928,1.452877029,0,63.64544514,63.64544514,253.5982596,-253.5982596,0.93485553,0.167380813,0.088841787,0.118480399,-0.587191153,0.058917866,0.788293668,0.052111022,1.333611176,1,0.088841787,0.925258989,12.37953528,0.909847284,0.910381647,1.441525328,0.194895616,13.37953528,,1.439284325,5.734895862,0.742034246,0.497279435,18.38501631,9.2200821,29.10960998,0.429293571,0.297568585,0.501499805,0.194895616,29.93423193,2.00601727,1.493811662,0.429293571,18.45653059,18.45653059,2.774013297,23.41326759,18.58877157,9.322265321,9.322265321,4.174860919,2.774013297,0.018335483,14.89216465,18.45653059
3,WYNN,12/31/2016,2.111392282,1.854520331,1.732062605,0,89.044343,89.044343,290.3636797,-290.3636797,0.915985435,0.116799666,0.069542397,0.054177991,0.026168958,0.020242929,1.531981842,0.02947608,0.779064189,1,0.069542397,0.986786444,74.67985236,0.984640243,,1.073374458,,75.67985236,,1.257044271,4.099081286,0.540738079,0.373637487,9.567213761,-2.517590813,25.89145843,1.344010745,0.217304402,-0.263147754,,,0.791673022,0.625690451,1.344010745,65.86420142,65.86420142,2.329263985,42.99280814,-40.73338665,10.71889921,10.71889921,7.619107003,2.329263985,0.031261292,19.01238301,65.86420142
4,WYNN,12/31/2015,2.257109941,1.97752058,1.873665408,0,75.26711714,75.26711714,212.558146,-212.558146,0.91136988,0.161637123,0.070965482,0.047913544,0.026700363,0.018559703,-1.743987712,0.030731438,0.675166899,1,0.070965482,1.010642106,-94.96635976,1.012304322,,0.961253681,,-93.96635976,,1.717177191,4.849395245,0.545087929,0.387358171,5.66227771,-13.32925081,21.70147188,2.555722259,0.140537155,-2.35404399,,,0.298147551,0.236665652,2.555722259,-60.83566044,-60.83566044,1.671371926,34.8830786,-5.052046881,11.8927406,11.8927406,6.16473085,1.671371926,0.073265387,13.92788897,-60.83566044
5,WYNN,12/31/2014,2.118797714,1.84463034,1.661759185,0,78.17593696,78.17593696,328.2819997,-328.2819997,0.937941289,0.233043247,0.176467027,0.134633721,-0.003944259,0.080719985,-25.41971576,0.123728982,0.762939818,1,0.176467027,1.003175487,-315.9122972,1.003933447,,3.043407329,,-314.9122972,,1.11184896,4.668955873,0.927904305,0.599552503,10.88229116,-0.28434413,24.00055486,1.288938342,0.202132043,-0.026129068,,,0.974536275,0.530602533,1.288938342,-518.8557507,-518.8557507,2.748082674,20.41154809,-520.3202192,13.59548259,13.59548259,3.598826606,2.748082674,0.063147505,12.4271342,-518.8557507
6,WYNN,12/31/2013,2.039673412,1.792771588,1.672953706,0,84.30782235,84.30782235,307.7953507,-307.7953507,0.942434321,0.229515333,0.17550867,0.129631791,-0.0178749,0.08698214,-3.9491835,0.142530314,0.738606196,1,0.17550867,1.022025348,-46.40223406,1.028820163,1.028815437,3.299165279,0.254516082,-45.40223406,,1.18585287,4.329372884,1.139121308,0.670993896,16.67636761,11.63572707,25.95424707,1.420411939,0.298285197,0.697737502,0.254516082,1596.801905,3.308382631,1.087477266,1.420411939,-109.8051315,-109.8051315,3.604349062,27.80451491,17.31821301,12.08356668,12.08356668,4.88350703,3.604349062,0.051085658,14.50874536,-109.8051315
7,WYNN,12/31/2012,1.946634941,1.647643535,1.524884278,0,75.50936464,75.50936464,195.1178363,-195.1178363,0.940167441,0.199693304,0.142211411,0.097401695,0.005864955,0.068993268,-1.938086065,0.119279433,0.684907735,1,0.142211411,1.035598661,-29.09094454,1.04690377,1.046894854,2.538442092,0.205041485,-28.09094454,,1.870664451,4.833837521,1.090184879,0.708337445,11.50155201,9.163979746,18.08196562,1.903236023,0.230045143,0.796760275,0.205041485,1129.255238,4.920297944,0.991006939,1.903236023,-49.14676699,-49.14676699,2.469951419,25.35840274,13.47558631,10.73681186,10.73681186,4.56693125,2.469951419,0.075053466,11.76946249,-49.14676699
8,WYNN,12/31/2011,1.092765143,0.876422011,0.799159817,0,92.63317954,92.63317954,220.5991407,-220.5991407,0.946119316,0.191324439,0.152865047,0.116393778,-0.024263655,0.088900841,0.293616343,0.151433669,0.761415252,1,0.152865047,0.697221072,2.302739751,0.573565156,0.60634559,3.503714368,0.471089924,3.302739751,,1.654584868,3.940272824,1.083131018,0.763793761,12.22063222,10.73605076,11.16304549,1.684864462,0.287646078,0.87851844,0.471089924,3.715882961,8.231702019,1.244943918,1.684864462,6.852652097,6.852652097,2.716490706,23.33879657,10.74976289,9.443864926,9.443864926,5.0572489,2.716490706,0.072191574,11.41017291,6.852652097
9,WYNN,12/31/2010,69.19839533,69.47931645,69.03834532,0,116.2218283,116.2218283,225.0043997,-225.0043997,0.934822776,0.149413888,-0.057142714,0.038264888,-0.08550758,0.064001723,0.071550814,-0.095944742,-0.669637219,1,-0.057142714,0.105506697,0.117951355,0.593307555,0.593505159,-1.072968595,0.32358152,1.117951355,,1.622190502,3.140546018,328.3146085,1.672596653,8.610944155,6.299396516,5.430485312,7.444953069,0.252661482,0.731557005,0.32358152,395.2568224,3.725185676,0.716352545,7.444953069,6.282692614,6.282692614,3.359941236,87.80742392,18.17793176,13.29819331,13.29819331,18.83480978,3.359941236,0.084787285,15.79422431,6.282692614
