id,rating_agency_name,file_creating_date,issued_paid,rating,rating_action_date,rating_action_class,obligor_sec_category,obligor_name,Ticker
0,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,11/30/2017,WO,Corporate,Baker Hughes Inc,BHI
1,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,9/18/2012,DG,Corporate,Baker Hughes Inc,BHI
2,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A-,4/5/2010,HS,Corporate,Baker Hughes Inc,BHI
3,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,6/24/2015,WO,Corporate,Ball Corp,BLL
4,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BB+,9/1/2010,HS,Corporate,Ball Corp,BLL
5,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB,11/28/2018,UP,Corporate,Barrick Gold Corp,ABX
6,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB-,9/17/2013,DG,Corporate,Barrick Gold Corp,ABX
7,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB,6/29/2012,DG,Corporate,Barrick Gold Corp,ABX
8,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,9/10/2010,HS,Corporate,Barrick Gold Corp,ABX
12,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A,1/4/2018,UP,Corporate,Baxter International Inc,BAX
13,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A-,5/27/2015,DG,Corporate,Baxter International Inc,BAX
14,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A+,12/14/2010,DG,Corporate,Baxter International Inc,BAX
15,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,AA-,1/11/2010,HS,Corporate,Baxter International Inc,BAX
20,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,10/2/2015,WO,Corporate,BCE Inc,BCE
21,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,3/12/2014,DG,Corporate,BCE Inc,BCE
22,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A-,7/8/2010,HS,Corporate,BCE Inc,BCE
26,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB,9/20/2017,DG,Corporate,"Becton, Dickinson and Co",BDX
27,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,10/15/2014,DG,Corporate,"Becton, Dickinson and Co",BDX
28,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,AA-,2/8/2012,DG,Corporate,"Becton, Dickinson and Co",BDX
29,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,AA,11/18/2010,DG,Corporate,"Becton, Dickinson and Co",BDX
30,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,AA+,11/18/2009,HS,Corporate,"Becton, Dickinson and Co",BDX
31,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BB+,4/19/2018,DG,Corporate,Bed Bath & Beyond Inc,BBBY
32,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB-,10/2/2017,DG,Corporate,Bed Bath & Beyond Inc,BBBY
33,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,7/23/2014,HS,Corporate,Bed Bath & Beyond Inc,BBBY
34,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,6/24/2015,WO,Corporate,Bemis Co Inc,BMS
35,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,7/28/2010,HS,Corporate,Bemis Co Inc,BMS
36,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,6/1/2018,WO,Corporate,Best Buy Co Inc,BBY
37,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB-,3/20/2017,UP,Corporate,Best Buy Co Inc,BBY
