"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"XXII","22nd Century Group, Inc","0.7882","$109.44M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/xxii",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","3.71","$918.95M","1986","n/a","n/a","https://old.nasdaq.com/symbol/fax",
"IAF","Aberdeen Australia Equity Fund Inc","4.47","$101.66M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/iaf",
"AEF","Aberdeen Emerging Markets Equity Income Fund, Inc.","6.15","$312.12M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aef",
"FCO","Aberdeen Global Income Fund, Inc.","6.21","$54.18M","1992","n/a","n/a","https://old.nasdaq.com/symbol/fco",
"ACU","Acme United Corporation.","21.5","$71.76M","1988","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acu",
"ATNM","Actinium Pharmaceuticals, Inc.","0.44","$149.38M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/atnm",
"AE","Adams Resources & Energy, Inc.","27.6","$116.91M","n/a","Energy","Oil Refining/Marketing","https://old.nasdaq.com/symbol/ae",
"ACY","AeroCentury Corp.","2.42","$3.74M","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/acy",
"UAVS","AgEagle Aerial Systems, Inc.","1.31","$57.14M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/uavs",
"AGE","AgeX Therapeutics, Inc.","0.8167","$30.75M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/age",
"AIRI","Air Industries Group","1.17","$35.78M","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/airi",
"AXU","Alexco Resource Corp","2.06","$256.87M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/axu",
"ALO","Alio Gold Inc.","1.04","$89.43M","2011","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/alo",
"AAU","Almaden Minerals, Ltd.","0.4871","$57.11M","2015","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/aau",
"APT","Alpha Pro Tech, Ltd.","15.61","$211.95M","n/a","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/apt",
"AAMC","Altisource Asset Management Corp","16.115","$26.21M","n/a","Finance","Real Estate","https://old.nasdaq.com/symbol/aamc",
"AMBO","Ambow Education Holding Ltd.","1.84","$39.66M","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/ambo",
"DIT","AMCON Distributing Company","56.05","$31.7M","n/a","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/dit",
"AMS","American Shared Hospital Services","2.58","$14.68M","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/ams",
"USAS","Americas Gold and Silver Corporation","2.44","$258.63M","2017","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/usas",
"AMPE","Ampio Pharmaceuticals, Inc.","0.5995","$98.83M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ampe",
"ANVS","Annovis Bio, Inc.","4.95","$33.96M","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/anvs",
"ARMP","Armata Pharmaceuticals, Inc.","3.81","$71.04M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/armp",
"AINC","Ashford Inc.","10.05","$25.01M","2014","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/ainc",
"AUG","Auryn Resources Inc.","1.45","$151.79M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/aug",
