Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
TXG,"10x Genomics, Inc.",89.13,$8.77B,2019,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg
YI,"111, Inc.",6.42,$528.75M,2018,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/yi
PIH,"1347 Property Insurance Holdings, Inc.",4.54,$27.55M,2014,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pih
PIHPP,"1347 Property Insurance Holdings, Inc.",25.4899,n/a,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pihpp
TURN,180 Degree Capital Corp.,1.87,$58.2M,n/a,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/turn
FLWS,"1-800-FLOWERS.COM, Inc.",23.335,$1.5B,1999,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.62,$47.72M,2019,Finance,Banks,https://old.nasdaq.com/symbol/bcow
ONEM,"1Life Healthcare, Inc.",34.47,$4.35B,2020,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/onem
FCCY,1st Constitution Bancorp (NJ),12.88,$131.39M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,35.71,$911.88M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",21.52,$2.44B,2011,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",37.07,$2.37B,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou
QFIN,"360 Finance, Inc.",10.84,$1.59B,2018,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin
KRKR,36Kr Holdings Inc.,3.71,$139.1M,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/krkr
JOBS,"51job, Inc.",69.6,$4.66B,2004,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs
ETNB,"89bio, Inc.",24.29,$335.05M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/etnb
JFK,8i Enterprises Acquisition Corp,10.2,$75.76M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfk
JFKKR,8i Enterprises Acquisition Corp,0.31,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkr
JFKKU,8i Enterprises Acquisition Corp,11,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkku
JFKKW,8i Enterprises Acquisition Corp,0.36,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkw
EGHT,8x8 Inc,15.67,$1.62B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght
NMTR,"9 Meters Biopharma, Inc.",0.5654,$54.42M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nmtr
JFU,9F Inc.,6.13,$1.19B,2019,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/jfu
AAON,"AAON, Inc.",54.05,$2.81B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon
ABEO,Abeona Therapeutics Inc.,2.98,$249.42M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abeo
ABMD,"ABIOMED, Inc.",254.66,$11.45B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,0.29,$48.84M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/axas
ACIU,AC Immune SA,7.13,$512.36M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aciu
ACIA,"Acacia Communications, Inc.",68.26,$2.85B,2016,Technology,Semiconductors,https://old.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,3.92,$190.93M,n/a,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",25.66,$2.28B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,52.32,$8.15B,1985,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acad
ACAM,Acamar Partners Acquisition Corp.,10.27,$392.28M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acam
ACAMU,Acamar Partners Acquisition Corp.,10.5,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acamu
ACAMW,Acamar Partners Acquisition Corp.,0.9,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acamw
ACST,"Acasti Pharma, Inc.",0.721,$65.04M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",11.98,$662.14M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/axdx
ACCP,"Accelerated Pharma, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/accp
XLRN,Acceleron Pharma Inc.,104.8,$5.64B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/xlrn
ARAY,Accuray Incorporated,2.34,$211.69M,2007,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",1.39,$112.26M,2011,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrx
ACER,Acer Therapeutics Inc.,3.34,$34.23M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acer
ACHV,"Achieve Life Sciences, Inc. ",0.4157,$15.6M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/achv
ACIW,"ACI Worldwide, Inc.",27.42,$3.18B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/aciw
ACRS,"Aclaris Therapeutics, Inc.",1.53,$64.06M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrs
ACMR,"ACM Research, Inc.",57.6,$1.05B,2017,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acmr
ACNB,ACNB Corporation,24.28,$210.51M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",0.82,$39.35M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/acor
ACTT,Act II Global Acquisition Corp.,10.25,$384.38M,2019,Consumer Non-Durables,Specialty Foods,https://old.nasdaq.com/symbol/actt
ACTTU,Act II Global Acquisition Corp.,13.5775,n/a,2019,Consumer Non-Durables,Specialty Foods,https://old.nasdaq.com/symbol/acttu
ACTTW,Act II Global Acquisition Corp.,1.71,n/a,2019,Consumer Non-Durables,Specialty Foods,https://old.nasdaq.com/symbol/acttw
ATVI,"Activision Blizzard, Inc",76.12,$58.65B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/atvi
ADMS,"Adamas Pharmaceuticals, Inc.",2.74,$77.15M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,0.5869,$43.27M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/admp
AHCO,AdaptHealth Corp. ,22.08,$1.63B,2018,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/ahco
