"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"DDD","3D Systems Corporation","7.09","$842.85M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ddd",
"MMM","3M Company","156.69","$90.13B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/mmm",
"WBAI","500.com Limited","4.33","$186.19M","2013","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/wbai",
"WUBA","58.com Inc.","54.27","$8.14B","2013","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/wuba",
"EGHT","8x8 Inc","15.67","$1.62B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",
"AHC","A.H. Belo Corporation","1.71","$36.61M","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/ahc",
"AOS","A.O Smith Corporation","47.19","$7.6B","n/a","Consumer Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/aos",
"ATEN","A10 Networks, Inc.","7.18","$551.33M","2014","Technology","Computer Communications Equipment","https://old.nasdaq.com/symbol/aten",
"AIR","AAR Corp.","20.96","$735.71M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","43.56","$2.94B","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","21.87","$46.66B","n/a","Consumer Durables","Electrical Products","https://old.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","90.34","$159.8B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","97.27","$171.42B","2012","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abbv",
"ANF","Abercrombie & Fitch Company","10.89","$679.27M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/anf",
"AGD","Aberdeen Global Dynamic Dividend Fund","8.92","$111.94M","2006","n/a","n/a","https://old.nasdaq.com/symbol/agd",
"AWP","Aberdeen Global Premier Properties Fund","4.71","$402.27M","2007","n/a","n/a","https://old.nasdaq.com/symbol/awp",
"ACP","Aberdeen Income Credit Strategies Fund","9.16","$159.68M","2011","n/a","n/a","https://old.nasdaq.com/symbol/acp",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","7.6485","$102.56M","1992","n/a","n/a","https://old.nasdaq.com/symbol/jeq",
"AOD","Aberdeen Total Dynamic Dividend Fund","7.72","$813.93M","2007","n/a","n/a","https://old.nasdaq.com/symbol/aod",
"ABM","ABM Industries Incorporated","38.99","$2.6B","n/a","Finance","Diversified Commercial Services","https://old.nasdaq.com/symbol/abm",
"AKR","Acadia Realty Trust","13.18","$1.13B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/akr",
